ID,Do you have any programming (coding) experience?,"If so, please rate your programming knowledge",Do you have any background in statistics?,"If so, please rate your knowledge of statistics",Have you used R?,"If so, please rate your R expertise",Do you have any fieldwork experience?,Where and what language?
1,Yes,1,Yes,1,Yes,2,No,
2,Yes,2,Yes,2,Yes,3,No,
3,Yes,4,Yes,3,No,,No,
4,Yes,2,Yes,2,Yes,3,Yes,Hungarian in Hungary
5,Yes,2,Yes,2,Yes,1,No,
6,Yes,4,Yes,3,Yes,2,No,
7,No,,Yes,1,Yes,1,Yes,"Berlin (where I live and found the language consultants), Sundanese (Austronesian)"
8,Yes,1,No,,No,,No,
9,No,,Yes,1,No,,No,
10,No,,No,,Yes,1,No,
11,No,1,No,1,No,1,Yes,"Cameroon, Mbeuma"
12,No,,Yes,2,No,,No,
13,No,1,Yes,1,No,1,Yes,"Hulunbuir (China), North East Asia "
14,Yes,2,Yes,1,No,,Yes,"Maaloula Aramaic, in Syria."
15,No,,No,,Yes,1,No,
16,No,,No,,No,,No,
17,Yes,1,No,,Yes,1,Yes,"Fieldwork classes with Bantu languages (Bobangi, Kikuyu), remote fieldwork on Mano, in all cases away from where the languages are normally spoken."
18,Yes,3,Yes,2,Yes,3,Yes,"Russia for Russian dialects in Archangelsk, Macedonian dialects in Albania, Koro and Hrusso in India"
19,Yes,3,Yes,2,No,1,No,
20,No,,Yes,1,No,,No,
21,Yes,3,Yes,3,Yes,3,No,
22,No,,No,,No,,No,
23,Yes,2,No,1,No,1,No,
24,Yes,5,Yes,3,Yes,2,No,
25,No,,Yes,1,Yes,1,No,
26,No,,Yes,2,Yes,1,Yes,"Poland (Kashubian, Wymysorys), Lithuania (Lithuanian)"
27,No,1,No,1,No,1,Yes,"in Ethiopia, Oromo language "
28,No,,No,,No,,No,
29,No,1,No,1,No,1,No,
30,No,,Yes,2,Yes,1,Yes,German-B/C/M/S
