language_no	language_ru	language	language_external	expert_ru	consultant_ru	expert	consultant	data_collection_year	initial_release_date	last_release_date	macroarea	family (WALS)	genus (WALS)	latitude	longitude	number_nominal_cases	source_of_information	contact_language	glottocode	comment_on_glottocode	WO_WALS	WO_comment
1	русский	Russian	Russian	Сергей Сергеевич Сай		Sergey Say		2011	November 7, 2020	April 1, 2023	Europe	Indo-European	Slavic	56	38	6	WALS; personal knowledge	Russian	russ1263		SVO	
2	арабский литературный	Arabic_Standard	Standard Arabic	Рамазан Гамидович Мамедшахов, Никита Сергеевич Кузин		Ramazan Mamedshaxov, Nikita Kuzin		2011, 2024	February 8, 2024	February 8, 2024	West Asia and the Caucasus	Afro-Asiatic	Semitic	27.96	43.85	3	glottolog; Mamedshaxov, materials	Russian	stan1318		VSO	In my actual data, the dominant WO is SVO
3	гуарани	Guarani_Paraguayan	Paraguayan Guaraní	Дмитрий Валентинович Герасимов		Dmitry Gerasimov					South America	Tupian	Maweti-Guarani	-25.61	-57.09	1	glottolog; WALS, Gerasimov p.c.		para1311		SVO	
4	эстонский	Estonian	Estonian	Мерит Ниинемяги		Merit Niinemägi		2009, 2021	December 12, 2021	December 12, 2021	Europe	Uralic	Finnic	58.55	25.82	14	glottolog; wikipedia	English	esto1258		SVO	
5	цахурский	Tsakhur	Tsakhur	Жиль Отье	Ахмед Давудов	Gilles Authier	Ahmed Davudov	2009, 2023	December 12, 2023	June 6, 2024	West Asia and the Caucasus	Nakh-Daghestanian	Lezgic	41.59	46.89	20	glottolog; книжка, латив и аллатив считаю за одну серию, с. 54 и далее		tsak1249		SOV	Extrapolation
6	тувинский	Tuvinian	Tuvinian	Софья Алексеевна Оскольская		Sofia Oskolskaya					North and Central Asia	Altaic	Turkic	51.7	94.37	8	glottolog; Oskolskaya, materials		tuvi1240		SOV	
7	ингерманландский финский	Finnish_Ingrian	Ingrian Finnish	Дарья Федоровна Мищенко		Daria Mishchenko					Europe	Uralic	Finnic	59.47	29.71	13	Coordinates are taken from Glottolog as they are shown for Ingrian (ижорский); Mishchenko 2018: 316		finn1318	Ingrian Finnish is a variety of Glottolog's "Finnish" (finn1318) spoken in Ingria. It is different from standard Finnish.	SVO	Extrapolation
8	баскский	Basque	Basque	Наталья Михайловна Заика		Natalia Zaika					Europe	Basque	Basque	43.28	-1.32	16	glottolog; Zaika 2018: 296		basq1248		SOV	
9	французский	French	French	Елена Евгеньевна Корди		Elena Kordi		2010	May 9, 2023	August 13, 2023	Europe	Indo-European	Romance	48	2	1	glottolog; рабочие материалы		stan1290		SVO	
10	немецкий	German	German	Сандра Бирцер		Sandra Birzer		2013	February 27, 2023	January 17, 2024	Europe	Indo-European	Germanic	52	10	4	WALS; WALS		stan1295		NO	
11	багвалинский	Bagvalal	Bagvalal	Дмитрий Валентинович Герасимов		Dmitry Gerasimov					West Asia and the Caucasus	Nakh-Daghestanian	Avar-Andic-Tsezic	42.4	46.1	20	glottolog; книжка, с. 144		bagv1239		SOV	Extrapolation
12	японский	Japanese	Japanese	Юкари Конума		Yukari Konuma					East and Southeast Asia	Japanese	Japanese	35	135	8	glottolog; условное решение на основе WALS (8-9) и материалов Ю. Конума		nucl1643		SOV	
13	литовский	Lithuanian	Lithuanian	Наталья Михайловна Заика		Natalia Zaika					Europe	Indo-European	Baltic	55.14	23.96	7	glottolog; wikipedia		lith1251		SVO	
14	калмыцкий	Kalmyk	Kalmyk	Сергей Сергеевич Сай		Sergey Say					Europe	Altaic	Mongolic	46.57	45.32	9	Unknown source of coordinates, but it is better than WALS/glottolog; Say 2009: 637	Russian	kalm1244	Kalmyk is a variety of the Glottolog's "Oirad-Kalmyk-Darkhat" (kalm 1243) spoken to the North-West of the Caspian Sea	SOV	Extrapolation
15	кхмерский	Khmer	Khmer	Сергей Юрьевич Дмитренко		Sergey Dmitrenko					East and Southeast Asia	Austro-Asiatic	Khmer	12.05	105.02	1	glottolog; WALS		cent1989	In Glottolog, this variety is referred to as "Central Khmer"	SVO	
16	башкирский	Bashkir	Bashkir	Сергей Сергеевич Сай		Sergey Say					Europe	Altaic	Turkic	53.6	56.56	6	glottolog; Say 2018: 377		bash1264		SOV	Extrapolation
17	латышский	Latvian	Latvian	Наталья Викторовна Перкова		Natalia Perkova					Europe	Indo-European	Baltic	56.83	24.31	5	glottolog; рабочие материалы		stan1325	In Glottolog, this variety is referred to as "Standard Latvian"	SVO	
18	гуро	Guro	Guro	Ольга Васильевна Кузнецова		Olga Kuznetsova					Sub-Saharan Africa	Mande	Eastern Mande	7.35	-6.31	1	glottolog; Кузнецова, Кузнецова 2017: 783		guro1248		SOV	Extrapolation
19	лоома	Loma	Loma	Дарья Федоровна Мищенко		Daria Mishchenko					Sub-Saharan Africa	Mande	Western Mande	8.2	-9.23	1	Coordinates are taken for Glottolog's "Toma", the only Loma variety shown outside of Liberia; Мищенко 2017, языки мира		loma1260	Glottolog's loma1260 is referred to as "Loma (Liberia)"; the actual data were gathered in Guinea (fialect Woi-Bhalaga)	SOV	Extrapolation
20	лезгинский	Lezgian	Lezgian	Рамазан Гамидович Мамедшахов		Ramazan Mamedshaxov					West Asia and the Caucasus	Nakh-Daghestanian	Lezgic	41.52	47.9	18	Mamedshaxov 2018: 274		lezg1247		SOV	
21	новогреческий	Greek_Modern	Modern Greek	Екатерина Александровна Желтова		Ekaterina Zheltova					Europe	Indo-European	Greek	38.36	23.13	4	glottolog; рабочие материалы		mode1248		NO	
22	древнегреческий	Greek_Ancient	Ancient Greek	Ильдар Ильбекович Ибрагимов		Ildar Ibragimov					Europe	Indo-European	Greek	39.82	21.91	5	glottolog (Ionic-Attic Ancient Greek); рабочие материалы		anci1242		SVO	Extrapolation
23	албанский	Albanian	Albanian	Варвара Андреевна Дивеева		Varvara Diveeva					Europe	Indo-European	Albanian	41	20	4	Glottolog (Northern Tosk Albanian); А.Ю.		tosk1239	Standard Albanian is most closely related to Glottolog's Northern Tosk Albanian (tosk1239)	SVO	
