language,genus,fam,phonemes,con,son,obs,vow,monoph,qua,ton,population
aal,Biu-Mandara,afas,36,27,6,21,9,9,9,0,31000
aau,Upper Sepik,sepr,14,9,5,4,5,5,5,0,7270
abi,Kwa,ncon,39,21,7,14,18,18,9,0,50500
abt,Middle Sepik,sepr,24,17,12,5,7,7,6,0,44000
ace,Malayic,anes,55,21,8,13,34,17,10,0,3500000
acv,Palaihnihan,hoka,23,17,6,11,6,6,6,0,16
ada,,ncon,39,23,8,15,12,12,7,4,800000
adj,Kwa,ncon,31,21,8,13,7,7,7,3,100000
adn,Greater Alor,trng,40,18,6,12,22,12,7,0,31800
adz,Oceanic,anes,25,18,6,12,7,7,4,0,28900
ael,,ncon,51,38,17,21,10,10,10,3,2600
aer,Pama-Nyungan,aust,30,27,15,12,3,3,3,0,3820
aey,Madang,trng,20,15,4,11,5,5,5,0,5300
agm,Angan,trng,21,12,7,5,9,7,5,0,2100
agq,Bantoid,ncon,35,25,8,17,10,10,10,0,26700
ags,,ncon,37,29,11,18,8,8,8,0,20000
ahg,Central Cushitic,afas,39,28,8,20,7,7,7,4,1650
ahk,Burmese-Lolo,sitb,41,28,6,22,13,13,10,0,200000
ahl,,ncon,33,23,7,16,7,7,7,3,6000
ahp,Kru,ncon,33,24,7,17,9,9,9,0,6500
aht,Athapaskan,nadn,35,30,5,25,5,5,5,0,35
ain,Ainu,_ain,17,12,5,7,5,5,5,0,15
ajg,Kwa,ncon,45,28,8,20,12,12,7,5,360000
aka,Kwa,ncon,40,22,7,15,15,15,8,3,8300000
ake,Cariban,cari,23,13,9,4,10,7,7,0,4500
akl,Meso-Philippine,anes,20,17,7,10,3,3,3,0,395000
akz,Muskogean,musk,21,15,5,10,6,6,3,0,100
alc,Alacalufan,alac,19,16,6,10,3,3,3,0,12
ald,Kwa,ncon,36,25,8,17,11,11,8,0,23000
ale,Aleut,eska,36,30,12,18,6,6,3,0,300
alh,Maran,aust,28,23,17,6,5,5,4,0,18
als,Albanian,ieur,35,28,8,20,7,7,7,0,2900000
aly,Pama-Nyungan,aust,32,25,19,6,7,7,4,0,1450
amc,Panoan,pano,22,14,5,9,8,8,4,0,110
ame,Arawakan,arwk,29,23,8,15,6,6,3,0,9830
amf,South Omotic,afas,35,25,8,17,10,10,10,0,42800
amh,Semitic,afas,59,52,12,40,7,7,7,0,17400000
amn,Border,trng,19,14,6,8,5,5,5,0,4420
amo,Kainji,ncon,35,25,8,17,10,10,10,0,12300
amp,Sepik Hill,sepr,25,18,6,12,7,7,7,0,1530
amu,Amuzgoan,otma,37,25,12,13,12,12,7,0,23000
anc,West Chadic,afas,44,30,8,22,11,10,6,3,400000
ann,Cross River,ncon,37,22,9,13,12,12,6,3,200000
ano,Andoke,_ano,26,11,1,10,15,15,9,0,370
ant,,aust,23,17,12,5,6,6,3,0,50
anu,Nilotic,nsah,47,19,9,10,24,20,10,4,52000
anv,,ncon,30,22,7,15,8,8,8,0,11200
aoj,Kombio-Arapesh,torr,22,17,4,13,5,5,5,0,11000
aon,,torr,22,15,4,11,7,7,7,0,4340
apd,,afas,62,54,13,41,8,8,3,0,15000000
apj,Athapaskan,nadn,56,34,4,30,19,19,7,3,680
apm,Athapaskan,nadn,47,31,8,23,16,16,4,0,1800
apn,Ge-Kaingang,macg,49,14,5,9,35,35,11,0,1260
apq,Great Andamanese,anda,24,16,10,6,8,8,8,0,10
apu,Arawakan,arwk,40,14,6,8,26,20,5,0,4087
aqc,Lezgic,ncau,91,81,32,49,10,10,10,0,1200
are,Pama-Nyungan,aust,29,26,20,6,3,3,3,0,1000
arg,,ieur,45,33,21,12,12,5,5,0,11000
arh,Aruak,chib,32,16,3,13,16,7,7,0,14800
arl,Zaparoan,zapa,18,11,7,4,7,5,5,0,50
arn,Araucanian,arcn,26,20,11,9,6,6,6,0,200000
arr,Ramarama,tupi,27,14,6,8,11,11,7,2,170
ary,Semitic,afas,78,74,19,55,4,4,3,0,18800000
arz,Semitic,afas,67,58,12,46,9,9,4,0,52500000
atb,,sitb,32,21,7,14,8,5,5,3,80000
aty,Oceanic,anes,26,21,9,12,5,5,5,0,900
auc,Waorani,_auc,21,11,5,6,10,10,5,0,1650
auy,Eastern Highlands,trng,20,11,7,4,6,6,5,3,11100
ava,Avar-Andic-Tsezic,ncau,49,44,20,24,5,5,5,0,744000
avt,Wapei-Palei,torr,17,10,5,5,7,7,6,0,8000
