predicate_no	predicate_label_en	argument_frame_en	stimulus_sentence_en	predicate_label_ru	argument_frame_ru	stimulus_sentence_ru	present_tense
1	feel_pain	X (have) Yache	[P.]_x has a [head]_yache.	болеть#часть тела#	у X-а (болеть) Y	У [П.]_x болит [голова]_y.	yes
2	have#illness#	X (have) Y	[P.]_x has [the flu]_y.	болеть#болезнью#	X (болеть) Y-ом	[П.]_x болеет [гриппом]_y.	yes
3	be_afraid	X (be afraid) of Y	(P. has to go out of the house, but there is a dog barking in the yard).  [P.]_x is afraid of [the dog]_y.	бояться	X (бояться) Y-а	(П. нужно выйти из дома, но во дворе лает собака). [П.]_x боится [собаки]_y.	yes
4	throw	X (throw) Y	(Two boys are competing to see who can throw a stone the farthest.) [P.]_x threw [a stone]_y (first).	бросить	X (бросить) Y(-а)	(Мальчики соревнуются, кто дальше кинет камень. Сначала) [П.]_x бросил [камень]_y.	
5	have_enough	X (have enough) Y	(P. has found a new job.) Now [P.]_x has enough [money]_y.	быть достаточно	X-у (хватать) Y-а	([П.]_x нашел новую работу. Теперь) [П.]_x хватает [денег]_y.	yes
6	resemble	X (resemble) Y	(M. is P.'s grandfather) [P.]_x resembles [M]_y.	быть похожим	X (быть похожим) на Y(-а)	(М. — дедушка П.) [П.]_x похож на [М]_y.	yes
7	believe	X (believe) Y	[P.]_x believes [M]_y.	верить	X (верить)Y-у	[П.]_x верит [М]_y.	yes
8	take	X (take) Y	[P.]_x took [a book]_y (from the shelf).	взять	X (брать) Y(-а)	[П.]_x взял [книгу]_y (с полки).	
9	see	X (see) Y	[P.]_x sees [a house]_y_y.	видеть	X (видеть) Y(-а)	[П.]_x видит [дом]_y.	yes
10	influence	X (influence) Y	[Age]_x influences [memory]_y.	влиять	X (влиять) на Y(-а)	[Возраст] влияет на [память]_y.	yes
11	encounter	X (encounter) Y	[P.]_x encountered [M.]_y (accidentally, on the street). = [P.]_y_x ran into [M]_y.	встречаться	X (встречаться) с Y-ом	[П.]_x встретился с [М.]_y (случайно, на улице).	
12	enter	X (enter) Y	[P.]_x entered [the house]_y.	входить	X (входить) в Y (дом)	[П.]_x вошел в [дом]_y.	
13	win	X (beat) Y	(P. and M. played chess.) [P.]_x beat [M]_y.	выиграть	X (выигрывать) у Y-а	(П. играл с М. в шахматы). [П.]_x выиграл у [М]_y.	
14	go_out	X (go out) of Y	[P.]_x went out of [the house]_y.	выходить	X (выходить) из Y-а	[П.]_x вышел из [дома]_y.	
15	drive	X (drive) Y	[P.]_x is driving [the cow]_y (to the pasture).	гнать	X (гнать) Y-а	[П.]_x гонит [корову]_y (на пастбище).	yes
16	bend	X (bend) Y	[P.]_x bent [the branch]_y.	гнуть	X (гнуть) Y	[П.]_x согнул [ветку]_y.	
17	tell	X (tell) Y	[P.]_x told [M.]_y: (‘Call me this evening.’)	говорить	X (говорить) Y-у	[П.]_x сказал [М.]_y: ("Приходи ко мне в гости").	
18	hold	X (hold)Y	[P.]_x is holding [a book]_y (in his hands).	держать	X (держать) Y(-а)	[П.]_x держит [книгу]_y (в руках).	yes
19	catch_up	X (catch up) with Y	(P. had an argument with M., M. went away, P. went after her.) [P.]_x caught up with [M]_y.	догнать	X (догонять) Y(-а)	(П. поссорился с М., и М. ушла. П. пошел за ней). [П.]_x догнал [М]_y.	
20	milk	X (milk) Y	[P.]_x milked [the cow]_y.	доить	X (доить) Y-а	[П.]_x подоил [корову]_y.	
21	reach	X (reach) Y	(P. was crossing the river in a boat.) [P.]_x reached [the bank]_y.	достичь	X (достичь) Y-а (берега)	(П. плыл на лодке через речку). [П.]_x достиг [берега]_y.	
22	touch	X (touch) Y	(The wall was covered with fresh paint.) [P.]_x touched [the wall]_y (and got dirty).	дотронуться	X (дотрагиваться) до Y-а	(Стена недавно была покрашена). [П.]_x дотронулся до [стены]_y (и испачкался).	
